Customer_ID,Customer_Type,City,Region,Signup_Date
1,New,Raipur,Central,05-10-2023
2,Repeat,Bangalore,South,16-01-2023
3,New,Raipur,South,13-01-2023
4,New,Bangalore,West,22-12-2023
5,New,Bangalore,North,22-12-2023
6,Repeat,Raipur,South,14-11-2023
7,New,Mumbai,West,28-03-2023
8,New,Bangalore,Central,19-03-2023
9,New,Raipur,Central,08-03-2023
10,Repeat,Delhi,Central,13-12-2023
11,New,Raipur,Central,30-07-2023
12,New,Delhi,West,02-08-2023
13,New,Bangalore,North,04-07-2023
14,New,Raipur,West,02-02-2023
15,Repeat,Raipur,North,25-04-2023
16,New,Delhi,Central,02-10-2023
17,Repeat,Raipur,South,17-07-2023
18,Repeat,Raipur,South,23-05-2023
19,Repeat,Bangalore,South,16-08-2023
20,New,Raipur,North,30-04-2023
21,Repeat,Mumbai,Central,19-12-2023
22,New,Delhi,West,24-01-2023
23,Repeat,Raipur,South,27-01-2023
24,Repeat,Delhi,North,16-03-2023
25,Repeat,Delhi,South,29-08-2023
26,Repeat,Delhi,West,23-01-2023
27,Repeat,Raipur,Central,10-06-2023
28,Repeat,Raipur,West,10-02-2023
29,Repeat,Delhi,Central,26-08-2023
30,Repeat,Mumbai,Central,27-08-2023
31,New,Delhi,Central,25-02-2023
32,New,Mumbai,South,08-04-2023
33,Repeat,Delhi,West,26-05-2023
34,Repeat,Bangalore,South,19-09-2023
35,Repeat,Delhi,West,09-02-2023
36,New,Delhi,North,12-07-2023
37,Repeat,Raipur,North,27-08-2023
38,New,Mumbai,West,11-02-2023
39,New,Bangalore,West,10-08-2023
40,New,Mumbai,West,15-07-2023
41,New,Bangalore,West,15-10-2023
42,New,Delhi,Central,10-01-2023
43,Repeat,Raipur,South,23-08-2023
44,Repeat,Raipur,Central,21-11-2023
45,Repeat,Mumbai,South,22-09-2023
46,Repeat,Raipur,South,10-03-2023
47,Repeat,Mumbai,South,19-05-2023
48,New,Mumbai,Central,21-12-2023
49,Repeat,Bangalore,West,07-08-2023
50,Repeat,Mumbai,Central,15-07-2023
51,New,Bangalore,Central,15-03-2023
52,Repeat,Raipur,South,13-04-2023
53,New,Mumbai,North,13-08-2023
54,Repeat,Mumbai,North,03-05-2023
55,New,Delhi,Central,12-04-2023
56,Repeat,Mumbai,South,21-09-2023
57,Repeat,Mumbai,Central,10-06-2023
58,New,Delhi,Central,21-08-2023
59,New,Delhi,West,02-10-2023
60,New,Raipur,South,15-09-2023
61,New,Mumbai,North,07-11-2023
62,New,Raipur,North,19-05-2023
63,New,Raipur,North,15-08-2023
64,New,Delhi,Central,30-09-2023
65,New,Bangalore,South,13-11-2023
66,Repeat,Raipur,West,27-03-2023
67,Repeat,Bangalore,North,18-10-2023
68,New,Mumbai,South,05-08-2023
69,Repeat,Delhi,North,25-12-2023
70,Repeat,Mumbai,West,07-03-2023
71,Repeat,Mumbai,South,14-09-2023
72,Repeat,Delhi,Central,15-05-2023
73,New,Mumbai,Central,24-02-2023
74,Repeat,Delhi,North,22-12-2023
75,New,Bangalore,North,31-08-2023
76,Repeat,Mumbai,South,09-09-2023
77,Repeat,Delhi,West,21-01-2023
78,Repeat,Raipur,North,03-11-2023
79,New,Mumbai,South,12-06-2023
80,Repeat,Bangalore,West,22-12-2023
81,New,Delhi,North,21-09-2023
82,Repeat,Mumbai,North,09-03-2023
