Order_ID,Warehouse_ID,Ship_Date,Delivery_Date,Delivery_Status,Return_Status,Return_Reason
1,10,30-12-2023,04-01-2024,Late,Yes,Late
2,5,26-11-2023,29-11-2023,On-time,No,None
3,3,12-12-2023,17-12-2023,Late,Yes,Wrong Item
4,3,13-07-2023,17-07-2023,On-time,No,None
5,6,26-08-2023,30-08-2023,On-time,No,None
6,7,04-02-2023,09-02-2023,Late,No,None
7,4,11-08-2023,14-08-2023,On-time,No,None
8,5,03-01-2023,08-01-2023,Late,No,None
9,1,01-04-2023,05-04-2023,On-time,No,None
10,8,27-06-2023,30-06-2023,On-time,No,None
11,6,10-03-2023,14-03-2023,On-time,No,None
12,6,12-05-2023,16-05-2023,On-time,No,None
13,7,12-03-2023,18-03-2023,Late,No,None
14,3,05-07-2023,08-07-2023,On-time,No,None
15,1,13-08-2023,17-08-2023,On-time,No,None
16,7,29-01-2023,04-02-2023,Late,Yes,Damaged
17,2,03-11-2023,05-11-2023,On-time,No,None
18,5,17-10-2023,20-10-2023,On-time,No,None
19,2,13-08-2023,17-08-2023,On-time,No,None
20,10,02-10-2023,08-10-2023,Late,No,None
21,5,20-10-2023,22-10-2023,On-time,No,None
22,8,18-01-2023,20-01-2023,On-time,No,None
23,9,16-11-2023,20-11-2023,On-time,No,None
24,5,28-04-2023,03-05-2023,Late,No,None
25,10,24-08-2023,30-08-2023,Late,Yes,Late
26,3,10-09-2023,12-09-2023,On-time,No,None
27,7,29-09-2023,04-10-2023,Late,No,None
28,3,20-12-2023,23-12-2023,On-time,No,None
29,10,13-12-2023,18-12-2023,Late,Yes,Late
30,2,10-05-2023,16-05-2023,Late,Yes,Wrong Item
31,1,04-09-2023,07-09-2023,On-time,No,None
32,3,12-09-2023,14-09-2023,On-time,No,None
33,8,09-03-2023,14-03-2023,Late,No,None
34,6,07-06-2023,13-06-2023,Late,No,None
35,7,29-11-2023,05-12-2023,Late,Yes,Wrong Item
36,1,02-03-2023,06-03-2023,On-time,No,None
37,9,06-09-2023,12-09-2023,Late,Yes,Damaged
38,1,08-01-2023,11-01-2023,On-time,No,None
39,6,21-08-2023,26-08-2023,Late,No,None
40,4,13-05-2023,18-05-2023,Late,Yes,Damaged
41,3,25-07-2023,27-07-2023,On-time,No,None
42,10,23-09-2023,28-09-2023,Late,No,None
43,1,06-01-2023,11-01-2023,Late,No,None
44,3,19-09-2023,25-09-2023,Late,No,None
45,8,12-09-2023,17-09-2023,Late,Yes,Damaged
46,7,15-12-2023,20-12-2023,Late,No,None
47,9,12-07-2023,14-07-2023,On-time,No,None
48,6,15-07-2023,18-07-2023,On-time,No,None
49,6,30-03-2023,03-04-2023,On-time,No,None
50,9,21-11-2023,24-11-2023,On-time,No,None
51,9,11-02-2023,13-02-2023,On-time,No,None
52,4,10-11-2023,16-11-2023,Late,No,None
53,8,23-08-2023,28-08-2023,Late,No,None
54,10,09-08-2023,14-08-2023,Late,Yes,Late
55,4,02-09-2023,06-09-2023,On-time,No,None
56,1,10-09-2023,15-09-2023,Late,Yes,Damaged
57,8,22-03-2023,26-03-2023,On-time,No,None
58,9,07-11-2023,11-11-2023,On-time,No,None
59,3,16-10-2023,18-10-2023,On-time,No,None
60,1,07-12-2023,10-12-2023,On-time,No,None
61,7,15-07-2023,19-07-2023,On-time,No,None
62,9,15-03-2023,21-03-2023,Late,No,None
63,5,21-10-2023,25-10-2023,On-time,No,None
64,4,28-02-2023,02-03-2023,On-time,No,None
65,2,21-07-2023,23-07-2023,On-time,No,None
66,7,09-10-2023,12-10-2023,On-time,No,None
67,5,23-11-2023,26-11-2023,On-time,No,None
68,5,16-03-2023,18-03-2023,On-time,No,None
69,9,24-05-2023,30-05-2023,Late,Yes,Late
70,2,25-10-2023,31-10-2023,Late,No,None
71,8,26-01-2023,29-01-2023,On-time,No,None
72,2,27-01-2023,01-02-2023,Late,Yes,Wrong Item
73,9,23-06-2023,26-06-2023,On-time,No,None
74,6,28-03-2023,01-04-2023,On-time,No,None
75,7,06-09-2023,12-09-2023,Late,Yes,Damaged
76,6,11-03-2023,15-03-2023,On-time,No,None
77,5,04-10-2023,08-10-2023,On-time,No,None
