Order_ID,Customer_ID,Product_ID,Campaign_ID,Quantity,Order_Date,Sales,Discount,Profit
1,7279,191,78,3,2023-12-28,4027.91,13.48%,1894.91
2,3458,1633,106,4,2023-11-24,909.18,10.58%,337.18
3,5385,219,169,1,2023-12-10,1874.93,12.52%,573.93
4,5616,1433,141,4,2023-07-11,4527.34,29.58%,2039.34
5,5507,1226,120,4,2023-08-25,8554.74,28.31%,4258.74
6,2996,1405,168,2,2023-02-02,5168.99,7.35%,2456.99
7,3639,1241,92,1,2023-08-09,2597.7,7.84%,1181.7
8,7518,1824,51,4,2023-01-01,3886.97,12.30%,1270.97
9,3285,106,96,4,2023-03-31,12140.39,5.04%,5824.39
10,8363,56,130,4,2023-06-25,5974.97,25.89%,2498.97
11,4342,1178,164,3,2023-03-09,3166.94,10.60%,970.94
12,9832,1092,14,4,2023-05-10,7567.16,16.51%,1271.16
13,617,1481,154,4,2023-03-11,8440.13,7.61%,1556.13
14,240,1947,194,3,2023-07-04,5025.18,22.10%,1401.18
15,6053,1737,139,1,2023-08-11,286.2,16.08%,53.2
16,6455,1516,50,4,2023-01-27,4147.81,2.53%,691.81
17,9115,602,125,1,2023-11-01,1316.88,4.60%,376.88
18,4888,1035,71,4,2023-10-15,3899.65,3.11%,1423.65
19,1905,437,163,3,2023-08-11,2680.88,12.17%,520.88
20,6166,1638,157,1,2023-09-30,1985.89,12.37%,527.89
21,813,800,38,3,2023-10-19,5670.98,24.39%,1014.98
22,5000,699,33,3,2023-01-17,5016.68,29.24%,1416.68
23,7643,414,75,2,2023-11-14,3370.11,7.98%,1208.11
24,1731,231,134,4,2023-04-27,4714.07,28.42%,2274.07
25,9024,137,146,4,2023-08-23,808.18,2.92%,332.18
26,3425,1547,159,1,2023-09-08,1418.53,29.54%,669.53
27,6063,1879,79,4,2023-09-28,3695.75,15.70%,1495.75
28,2208,401,77,3,2023-12-19,1250.13,11.37%,506.13
29,3369,1888,133,4,2023-12-12,1163.93,11.03%,355.93
30,5472,779,40,3,2023-05-08,4806.88,19.26%,1308.88
31,2228,569,175,2,2023-09-02,413.25,8.90%,193.25
32,7640,982,63,3,2023-09-11,7437.64,20.87%,3393.64
33,4381,50,82,3,2023-03-07,8503.82,24.77%,3568.82
34,1821,480,43,1,2023-06-05,372.05,26.90%,105.05
35,8841,585,2,3,2023-11-28,6301.14,3.16%,2986.14
36,189,849,76,2,2023-03-01,7042.46,26.93%,3408.46
37,9415,1077,148,1,2023-09-05,855.32,14.05%,426.32
38,5222,601,113,2,2023-01-06,5851.3,8.54%,2599.3
39,8671,1788,24,1,2023-08-20,1686.24,27.45%,468.24
40,6747,208,73,4,2023-05-12,12884.05,9.94%,5832.05
41,4613,110,110,2,2023-07-23,3594.41,3.22%,1230.41
42,1889,737,163,3,2023-09-22,4056.55,18.48%,1740.55
43,1551,1474,183,1,2023-01-04,524.21,28.31%,259.21
44,7060,171,180,3,2023-09-18,2446.36,7.23%,682.36
45,5234,807,45,4,2023-09-11,5063.81,14.43%,1623.81
46,5636,1066,47,2,2023-12-14,2312.52,1.15%,1024.52
47,34,716,93,4,2023-07-10,9264.61,5.30%,1924.61
48,8488,1003,123,4,2023-07-13,4753.37,7.90%,1285.37
49,1430,930,51,4,2023-03-29,10858.38,1.96%,3946.38
50,5247,1689,117,3,2023-11-20,9505.54,8.31%,3622.54
51,1988,590,121,2,2023-02-09,2871.45,13.56%,651.45
52,6272,905,29,1,2023-11-08,608.43,29.60%,296.43
53,2883,1403,196,1,2023-08-21,359.8,24.73%,148.8
54,9902,1758,104,1,2023-08-08,2380.25,7.03%,960.25
