Order_ID,Payment_Method,Payment_Status
1,Card,Success
2,UPI,Success
3,Card,Failed
4,COD,Success
5,Card,Success
6,UPI,Success
7,COD,Success
8,COD,Success
9,Card,Success
10,UPI,Success
11,Card,Success
12,COD,Success
13,UPI,Success
14,Card,Success
15,UPI,Success
16,Card,Success
17,COD,Success
18,UPI,Success
19,COD,Success
20,UPI,Success
21,COD,Success
22,COD,Success
23,UPI,Success
24,UPI,Success
25,Card,Success
26,COD,Success
27,COD,Success
28,Card,Success
29,UPI,Success
30,Card,Success
31,Card,Success
32,Card,Success
33,COD,Success
34,UPI,Success
35,COD,Success
36,UPI,Failed
37,COD,Success
38,COD,Success
39,COD,Failed
40,Card,Success
41,UPI,Success
42,Card,Success
43,UPI,Success
44,Card,Success
45,Card,Success
46,Card,Success
47,UPI,Success
48,UPI,Success
49,Card,Success
50,Card,Success
51,COD,Success
52,COD,Success
53,Card,Success
54,COD,Success
55,UPI,Success
56,COD,Success
57,Card,Success
58,UPI,Success
59,COD,Success
60,COD,Success
61,Card,Success
62,Card,Success
63,COD,Success
64,Card,Success
65,Card,Success
66,Card,Success
67,UPI,Success
68,COD,Success
69,UPI,Success
70,UPI,Success
71,Card,Success
72,UPI,Success
73,Card,Success
74,COD,Success
75,UPI,Success
76,UPI,Success
77,UPI,Success
78,COD,Success
79,Card,Success
80,COD,Success
81,UPI,Success
82,COD,Success
83,UPI,Success
84,COD,Success
85,COD,Success
86,COD,Success
87,UPI,Success
88,UPI,Success
89,UPI,Failed
90,COD,Success
91,COD,Success
92,COD,Success
93,COD,Success
94,Card,Success
95,COD,Success
96,Card,Failed
97,Card,Success
98,COD,Success
99,COD,Success
100,COD,Success
101,COD,Success
102,Card,Success
103,UPI,Success
104,UPI,Failed
105,COD,Success
106,UPI,Success
107,COD,Success
108,COD,Success
109,UPI,Success
110,UPI,Success
111,Card,Success
112,Card,Success
113,Card,Failed
114,Card,Success
115,UPI,Success
116,Card,Success
117,COD,Success
118,Card,Success
119,UPI,Success
120,Card,Success
121,UPI,Success
122,Card,Success
123,COD,Success
124,COD,Success
125,Card,Success
126,UPI,Success
127,COD,Success
128,UPI,Success
129,UPI,Success
130,UPI,Success
131,COD,Success
132,COD,Success
133,COD,Success
134,Card,Success
135,COD,Success
136,UPI,Failed
137,Card,Success
138,UPI,Success
139,COD,Success
140,UPI,Success
141,Card,Success
142,Card,Success
143,Card,Failed
144,COD,Success
145,COD,Success
146,Card,Success
147,Card,Success
148,COD,Success
